num_points,pi,time
330500,3.143008,0.008311
331000,3.136604,0.008328
331500,3.144121,0.008309
332000,3.141711,0.008446
332500,3.138021,0.008442
333000,3.142246,0.008423
333500,3.143736,0.008480
334000,3.142156,0.008536
334500,3.137602,0.008927
335000,3.139176,0.008834
335500,3.138051,0.009050
336000,3.142857,0.008791
336500,3.146104,0.008475
337000,3.141377,0.008592
337500,3.139852,0.008454
338000,3.138260,0.008526
338500,3.139403,0.008535
339000,3.146737,0.008647
339500,3.146227,0.008561
340000,3.144976,0.008545
340500,3.137891,0.008613
341000,3.142768,0.008553
341500,3.143941,0.008718
342000,3.143064,0.008585
342500,3.141536,0.008619
343000,3.145773,0.008955
343500,3.140297,0.009140
344000,3.147581,0.008778
344500,3.140505,0.008658
345000,3.142307,0.008650
345500,3.141175,0.008668
346000,3.141064,0.008699
346500,3.141945,0.008865
347000,3.140853,0.008704
347500,3.141157,0.008698
348000,3.142563,0.008751
348500,3.137458,0.008770
349000,3.138636,0.008881
349500,3.142615,0.008987
350000,3.136960,0.009227
350500,3.138351,0.008825
351000,3.142587,0.008810
351500,3.138253,0.008815
352000,3.138977,0.008830
352500,3.144908,0.008888
353000,3.139218,0.008928
353500,3.142642,0.008861
354000,3.140045,0.009120
354500,3.145433,0.009122
355000,3.143538,0.009026
355500,3.136439,0.008969
356000,3.139831,0.008994
356500,3.144572,0.008992
357000,3.140549,0.009022
357500,3.139301,0.009134
358000,3.138492,0.008988
358500,3.140128,0.009022
359000,3.140000,0.009006
359500,3.142643,0.009048
360000,3.140811,0.009131
360500,3.142014,0.009091
361000,3.142981,0.009085
361500,3.139939,0.009093
362000,3.138884,0.009227
362500,3.140811,0.009358
363000,3.142656,0.009153
363500,3.140732,0.009154
364000,3.141220,0.009172
364500,3.141421,0.009277
365000,3.141490,0.009370
365500,3.142807,0.009163
366000,3.145421,0.009261
366500,3.135367,0.009213
367000,3.143553,0.009290
367500,3.143390,0.009321
368000,3.143587,0.009305
368500,3.142697,0.009247
369000,3.143762,0.009257
369500,3.142051,0.009392
370000,3.142714,0.009310
370500,3.141020,0.009311
371000,3.141337,0.009294
371500,3.147521,0.009707
372000,3.143763,0.009672
372500,3.146255,0.009348
373000,3.141909,0.009536
373500,3.146956,0.009379
374000,3.142524,0.009405
374500,3.141191,0.009412
375000,3.139307,0.009760
375500,3.141870,0.009731
376000,3.140691,0.009467
376500,3.145859,0.009704
377000,3.141475,0.009663
377500,3.140726,0.009586
378000,3.139259,0.009825
378500,3.144328,0.009738
379000,3.139462,0.009566
379500,3.137750,0.009520
380000,3.143011,0.009525
380500,3.140857,0.009569
381000,3.143979,0.009661
381500,3.137478,0.009594
382000,3.140890,0.009630
382500,3.142024,0.009626
383000,3.143593,0.009719
383500,3.142143,0.009718
384000,3.137927,0.009648
384500,3.142856,0.009677
385000,3.144883,0.009956
385500,3.145857,0.009671
386000,3.142767,0.009751
386500,3.141837,0.009917
387000,3.137922,0.010008
387500,3.143597,0.010177
388000,3.139577,0.009995
388500,3.143084,0.009764
389000,3.141974,0.009989
389500,3.139009,0.009829
390000,3.144215,0.010143
390500,3.138264,0.009802
391000,3.143959,0.009846
391500,3.140863,0.009816
392000,3.140347,0.009868
392500,3.139964,0.010098
393000,3.139450,0.009867
393500,3.144549,0.009872
394000,3.143695,0.009927
394500,3.143817,0.010011
395000,3.142076,0.010369
395500,3.143110,0.010035
396000,3.143566,0.010142
396500,3.138169,0.010251
397000,3.144343,0.010397
397500,3.144704,0.010308
398000,3.144673,0.010196
398500,3.138610,0.010376
399000,3.137093,0.010014
399500,3.137252,0.010081
400000,3.141950,0.010277
400500,3.140464,0.010209
401000,3.140319,0.010326
401500,3.144289,0.010103
402000,3.140398,0.010160
402500,3.138345,0.010132
403000,3.143533,0.010121
403500,3.145755,0.010458
404000,3.139168,0.010197
404500,3.138047,0.010369
405000,3.141491,0.010189
405500,3.143477,0.010185
406000,3.142985,0.010226
406500,3.143665,0.010293
407000,3.143184,0.010410
407500,3.144029,0.010622
408000,3.143549,0.011265
408500,3.143364,0.010988
409000,3.139491,0.010855
409500,3.138764,0.010376
410000,3.141961,0.010332
410500,3.142470,0.010350
411000,3.141431,0.010295
411500,3.143106,0.010480
412000,3.141447,0.010366
412500,3.142497,0.010530
413000,3.144262,0.010428
413500,3.142597,0.010487
414000,3.139700,0.010445
414500,3.137805,0.010420
415000,3.140945,0.010461
415500,3.139822,0.010733
416000,3.141625,0.010649
416500,3.138833,0.010468
417000,3.141353,0.010459
417500,3.140110,0.010603
418000,3.137713,0.010512
418500,3.144526,0.010515
419000,3.135284,0.010568
419500,3.142083,0.010604
420000,3.138305,0.010562
420500,3.138654,0.010542
421000,3.144266,0.010712
421500,3.145053,0.010616
422000,3.143602,0.010616
422500,3.145628,0.010611
423000,3.141778,0.010755
423500,3.145596,0.010634
424000,3.142991,0.010633
424500,3.140297,0.010671
425000,3.138325,0.010743
425500,3.139864,0.010729
426000,3.136582,0.010691
426500,3.144394,0.010715
427000,3.145143,0.010806
427500,3.145834,0.010742
428000,3.141701,0.010739
428500,3.141592,0.010940
429000,3.141660,0.011512
429500,3.140349,0.011012
430000,3.142828,0.011502
430500,3.146202,0.011085
431000,3.144260,0.010857
431500,3.137270,0.010832
432000,3.143463,0.011167
432500,3.140892,0.011531
433000,3.142411,0.011466
433500,3.144452,0.011166
434000,3.142396,0.011310
434500,3.140152,0.011195
435000,3.138566,0.011415
435500,3.139233,0.011501
436000,3.136183,0.011179
436500,3.143093,0.011303
437000,3.140339,0.010980
437500,3.140672,0.011173
438000,3.144457,0.011304
438500,3.136556,0.011258
439000,3.141595,0.011270
439500,3.145138,0.011361
440000,3.140636,0.011305
440500,3.137662,0.011135
441000,3.140472,0.011079
441500,3.140032,0.011256
442000,3.142299,0.011132
442500,3.137302,0.011382
443000,3.141336,0.011107
443500,3.139418,0.011467
444000,3.140901,0.011458
444500,3.141381,0.011700
445000,3.146625,0.011708
445500,3.141809,0.011509
446000,3.140852,0.011651
446500,3.144045,0.011493
447000,3.139221,0.011254
447500,3.139942,0.011231
448000,3.143027,0.011322
448500,3.141628,0.011489
449000,3.142040,0.011545
449500,3.140102,0.011515
450000,3.143636,0.011609
450500,3.141869,0.011826
451000,3.140310,0.011649
451500,3.144452,0.011493
452000,3.141239,0.011645
452500,3.138546,0.011459
453000,3.138252,0.011368
453500,3.144697,0.011616
454000,3.145137,0.011441
454500,3.145303,0.011406
455000,3.142145,0.011425
455500,3.140241,0.012142
456000,3.142947,0.012003
456500,3.141529,0.011747
457000,3.142941,0.011505
457500,3.144385,0.011528
458000,3.138821,0.012057
458500,3.135808,0.012139
459000,3.143390,0.011790
459500,3.140422,0.011550
460000,3.135843,0.011593
460500,3.143210,0.011572
461000,3.141041,0.011729
461500,3.143281,0.011617
462000,3.138996,0.011601
462500,3.146266,0.011612
463000,3.141063,0.011798
463500,3.141851,0.011904
464000,3.144241,0.011772
464500,3.140753,0.011654
465000,3.138830,0.011716
465500,3.140872,0.012172
466000,3.142034,0.011707
466500,3.139070,0.012070
467000,3.142227,0.011796
467500,3.141604,0.011776
468000,3.142179,0.011738
468500,3.138792,0.012189
469000,3.138584,0.011794
469500,3.140754,0.012596
470000,3.141030,0.011861
470500,3.143507,0.011799
471000,3.140577,0.011842
471500,3.144356,0.012059
472000,3.140254,0.012215
472500,3.142290,0.011942
473000,3.139188,0.012376
473500,3.143333,0.011969
474000,3.137890,0.011943
474500,3.141774,0.011905
475000,3.139891,0.012121
475500,3.144193,0.012089
476000,3.141076,0.011970
476500,3.144008,0.011967
477000,3.142457,0.012208
477500,3.143095,0.012280
478000,3.138510,0.012167
478500,3.140698,0.012223
479000,3.141887,0.012021
479500,3.139812,0.012067
480000,3.144133,0.012193
480500,3.141686,0.012057
481000,3.140757,0.012282
481500,3.140012,0.012339
482000,3.143286,0.012124
482500,3.143428,0.012117
483000,3.141673,0.012103
483500,3.138407,0.012261
484000,3.143521,0.012154
484500,3.142241,0.012378
485000,3.140561,0.012207
485500,3.140581,0.012216
486000,3.144173,0.012260
486500,3.141895,0.012320
487000,3.139581,0.012398
487500,3.143770,0.012272
488000,3.144213,0.012434
488500,3.142706,0.012454
489000,3.142135,0.012327
489500,3.143649,0.012275
490000,3.138669,0.012339
490500,3.141341,0.012440
491000,3.140864,0.012382
491500,3.140793,0.012874
492000,3.140764,0.012859
492500,3.139882,0.012794
493000,3.142945,0.012386
493500,3.143311,0.012428
494000,3.142000,0.012528
494500,3.140320,0.012599
495000,3.143394,0.012877
495500,3.138914,0.012885
496000,3.141726,0.012718
496500,3.140906,0.012593
497000,3.140652,0.012721
497500,3.138693,0.012866
498000,3.143590,0.012579
498500,3.143703,0.012801
499000,3.145547,0.012791
499500,3.140773,0.012703
500000,3.140760,0.012719
